,AAPL,AMZN,BA,BAC,C,CAT,COP,CVX,DIS,GOOGL,GS,JNJ,JPM,MMM,MRK,MSFT,NKE,NVDA,PFE,SLB,UNH,XOM
2015-10-23,-0.10962063,0.041273385,-0.05795598,0.20547059,-0.0922987,-0.15839288,-0.10356273,-0.021373471,-0.020266514,0.01359049,-0.08527381,-0.041741014,0.03164806,0.2087489,0.036315408,0.05689893,-0.09282338,0.25953898,-0.10415457,-0.0012925267,-0.0031902432,0.03846173
2015-10-30,-0.11129824,0.020997867,-0.06665437,0.21692161,-0.067783654,-0.15480006,-0.109429434,-0.016584938,-0.0073893713,0.030991118,-0.09703128,-0.03990927,0.02967101,0.19506487,0.03394544,0.04992301,-0.08838757,0.27246743,-0.107717134,-0.017749975,0.0020607845,0.03269216
2015-11-06,-0.11047138,0.014249529,-0.06510277,0.20769636,-0.055242974,-0.15788768,-0.10097049,-0.01648781,-0.013840543,0.055888616,-0.09582602,-0.059352744,0.03837628,0.20112137,0.034873255,0.058609404,-0.100362,0.2705341,-0.09860308,-0.013358128,-0.020210132,0.026366806
2015-11-13,-0.124314405,0.036865175,-0.038342398,0.20671439,-0.072392635,-0.14780775,-0.10685847,-0.040190063,-0.006324512,0.04921314,-0.10057908,-0.04950021,0.038999196,0.20049024,0.028562725,0.07394538,-0.10826119,0.27380902,-0.10719063,-0.023902852,-0.009010795,0.026075821
2015-11-20,-0.12832132,0.014338629,-0.039090525,0.20168357,-0.06607482,-0.15100947,-0.097328864,-0.02720068,-0.009873642,0.0558906,-0.102784194,-0.042779565,0.029846286,0.20225796,0.024940342,0.063024476,-0.09473864,0.29155487,-0.10869573,-0.027957281,-0.0071092723,0.019427191
2015-11-27,-0.14238843,0.039217316,-0.009283667,0.19677195,-0.05746754,-0.14407319,-0.10115014,-0.027576536,-0.0071105063,0.07713427,-0.0929787,-0.046775095,0.04143601,0.1920375,0.016579509,0.067334756,-0.11535915,0.28511605,-0.10675585,-0.05940037,-0.021388263,0.016080046
2015-12-04,-0.13177311,0.031775054,-0.044510268,0.20593932,-0.07134195,-0.15942915,-0.09994669,-0.02217466,0.012279885,0.043125656,-0.10676841,-0.059614718,0.055295028,0.20242552,0.026653636,0.06589311,-0.104168415,0.2816512,-0.106385864,-0.040270638,-0.018002002,0.039347477
2015-12-11,-0.13834038,0.038941484,-0.034512542,0.20333704,-0.07736884,-0.16253431,-0.105889775,-0.024951624,0.009035386,0.03963846,-0.11038005,-0.062514864,0.04093746,0.20712742,0.0303128,0.061875463,-0.106117725,0.27949816,-0.10168582,-0.042249292,-0.0043789623,0.06022055
2015-12-18,-0.13679509,0.032789115,-0.060554422,0.20296547,-0.09848527,-0.1683933,-0.1016659,-0.02549167,0.02374881,-0.0027115196,-0.09582436,-0.06341853,0.041319203,0.20053563,0.038306464,0.05796523,-0.10269461,0.2729606,-0.092753865,-0.009802741,0.001747714,0.08625299
2015-12-25,-0.1454821,0.028039968,-0.008056646,0.19455026,-0.09106388,-0.16157968,-0.1089174,-0.027357426,0.0041160816,0.059448373,-0.10097375,-0.053825844,0.046385214,0.19907859,0.021291723,0.069477476,-0.09117217,0.29541886,-0.11503105,-0.036913536,-0.032368556,0.054935455
2016-01-01,-0.18610999,0.0045691044,0.028630987,0.1455206,-0.09054228,-0.1337166,-0.12601899,0.0028043776,0.08625523,0.024509508,-0.11886869,-0.05434407,0.025342083,0.23895442,-0.022299211,0.085234724,-0.055647124,0.22540002,-0.066775024,-0.09228666,-0.00385347,0.08324108
2016-01-08,-0.1827027,0.015151878,0.038454574,0.15876399,-0.09245315,-0.13860545,-0.1347476,0.007506168,0.0785546,0.0040258663,-0.12553664,-0.06987344,0.025444966,0.23468073,-0.008422544,0.078909464,-0.062179606,0.20178013,-0.051842142,-0.08153544,-8.647442e-05,0.10471282
2016-01-15,-0.16195922,0.022632536,0.032556042,0.173387,-0.09034924,-0.12427833,-0.14263757,0.010097465,0.06886982,-0.014625314,-0.11834421,-0.083196126,0.022599235,0.21952958,-0.013661121,0.07397233,-0.06425418,0.17639062,-0.037294872,-0.06945876,0.0034914552,0.1165329
2016-01-22,-0.17383714,0.031081015,0.040701795,0.17641988,-0.08277686,-0.14419217,-0.18053584,0.027485752,0.09521365,0.0055957646,-0.13209537,-0.08444083,0.028537288,0.24107492,-0.02182424,0.07426292,-0.065722555,0.180998,-0.037368074,-0.076226056,-0.0114297215,0.10907783
2016-01-29,-0.18136562,0.029817794,0.018950561,0.18707268,-0.09658188,-0.14196366,-0.16735955,0.036704216,0.086992785,-0.01613554,-0.1244898,-0.07644107,0.025272783,0.2438908,-0.021351933,0.061835565,-0.057869285,0.19055879,-0.061820902,-0.050139107,-0.009639609,0.124061964
2016-02-05,-0.13842753,0.015231517,0.009072572,0.17838028,-0.046709977,-0.13578281,-0.20660314,0.033084534,0.06818273,-0.016011119,-0.12454279,-0.06385361,-0.0008063294,0.22422841,-0.06616415,0.105815925,-0.049102306,0.204312,-0.069753364,-0.06812011,0.025729716,0.12183969
2016-02-12,-0.17921121,0.056936987,0.03315174,0.186676,-0.050208278,-0.13450506,-0.19676548,0.026318934,0.07091355,0.0020515814,-0.1256038,-0.061691523,0.029670175,0.21481228,-0.054679096,0.079240024,-0.06946288,0.16121402,-0.029510375,-0.043142065,-0.017792184,0.101586685
2016-02-19,-0.1861819,0.038099032,0.040109273,0.18857293,-0.080279246,-0.13575783,-0.19482312,0.033508867,0.08219324,-0.0057884813,-0.12997752,-0.06434396,0.016712364,0.23770833,-0.04363007,0.07805429,-0.06205065,0.18499884,-0.028345436,-0.060053915,-0.01002084,0.10129581
2016-02-26,-0.20294198,0.034270614,0.04031341,0.18713543,-0.10080244,-0.13518856,-0.18624063,0.034514163,0.08549468,-0.0033593723,-0.1359494,-0.0791511,0.026366955,0.25446326,-0.026452392,0.07442552,-0.054380316,0.19558527,-0.03046007,-0.06356831,-0.015876567,0.101801835
2016-03-04,-0.17377348,0.015442282,0.037750684,0.18248005,-0.08948803,-0.13875553,-0.1880084,0.040372953,0.07821779,-0.008724527,-0.13477215,-0.06602748,0.0028094656,0.2504657,-0.024366131,0.08236317,-0.048720572,0.20586196,-0.05639538,-0.078778826,0.015258593,0.096787885
2016-03-11,-0.19887535,0.006900641,0.04648184,0.18785334,-0.109074056,-0.13131008,-0.1760313,0.038034167,0.08490244,-0.004499073,-0.14394031,-0.075029984,0.024587704,0.25433907,-0.020040428,0.075662576,-0.05254615,0.2158277,-0.053024895,-0.08122995,0.006314522,0.104697585
2016-03-18,-0.16355684,-0.018731091,0.02476049,0.19983801,-0.11721428,-0.13408431,-0.1438956,0.019080114,0.08665674,-0.025058623,-0.14892088,-0.056424893,-0.01862346,0.25405616,-0.03579082,0.07776661,-0.048159607,0.21633604,-0.059296925,-0.06139024,0.055555742,0.097097546
2016-03-25,-0.20560181,0.0052485717,0.040587626,0.19391292,-0.11265912,-0.13974428,-0.16365659,0.022016605,0.09101865,-0.011423365,-0.14353016,-0.06409663,0.009522164,0.26539877,-0.022998242,0.06990756,-0.044979617,0.21621938,-0.047369283,-0.061758082,0.009167957,0.094817
2016-04-01,-0.21704093,-0.0009161189,0.034045666,0.19153687,-0.09185427,-0.14310852,-0.19054255,0.0133478,0.11702998,-0.01239917,-0.13769048,-0.040032584,0.00863577,0.26348406,-0.031965267,0.06912454,-0.05534624,0.22813162,-0.020568665,-0.06394397,-0.015946317,0.09601878
2016-04-08,-0.20928805,-0.0040463284,0.035819538,0.19289903,-0.09691635,-0.1398505,-0.1638228,-0.009553435,0.10860918,-0.015118197,-0.13674071,-0.053723436,0.012621884,0.26317754,-0.024774883,0.05870965,-0.04955446,0.20943765,-0.025164878,-0.063696295,0.007915544,0.10306034
2016-04-15,-0.21190253,-0.005646569,0.011198431,0.19049823,-0.07667391,-0.14234996,-0.15027301,-0.030605752,0.10145334,-0.01150052,-0.13495238,-0.037194125,-0.0025261082,0.25464624,-0.024502188,0.061870135,-0.047058273,0.21307698,-0.029343972,-0.04896594,0.012918806,0.10783305
2016-04-22,-0.21680252,-0.008428961,-0.008381578,0.1740975,-0.085324004,-0.1321793,-0.13232277,-0.054284524,0.07124756,-0.047747474,-0.10967541,-0.025219679,0.00041286796,0.25417703,-0.01907434,0.07231274,-0.024604678,0.2146211,-0.03750971,-0.03350064,0.025184184,0.123002626
2016-04-29,-0.21680951,0.001657778,-0.019508231,0.17894268,-0.06532643,-0.12746835,-0.15206048,-0.050054245,0.098561324,-0.04704442,-0.11879901,-0.037136436,0.0031857886,0.2606262,-0.036346518,0.07538213,-0.04228592,0.20473322,-0.030548757,-0.037752837,0.030964207,0.12708785
