,AAPL,AMZN,BA,BAC,C,CAT,COP,CVX,DIS,GOOGL,GS,JNJ,JPM,MMM,MRK,MSFT,NKE,NVDA,PFE,SLB,UNH,XOM
2015-10-23,0.050203033,0.029975886,-0.055950522,0.058744382,-0.0083333,0.03646155,-0.0069673928,-0.10739436,0.04454005,-0.07018469,-0.06945747,-0.03231253,-0.03254652,0.1040165,0.040725525,0.08502253,0.014696156,0.015185122,0.013193021,-0.06691501,0.020541202,-0.06324316
2015-10-30,0.04926281,0.031658765,-0.061832774,0.056509018,-0.010181328,0.04250645,-0.005750265,-0.112363,0.04132273,-0.07595728,-0.07081267,-0.02152164,-0.032348022,0.10825634,0.045424618,0.082290575,0.0035687573,0.011243959,0.012142455,-0.047750898,0.016372655,-0.06204126
2015-11-06,0.05047218,0.030185496,-0.05627816,0.059306793,-0.005066636,0.043853592,-0.008204046,-0.122447826,0.038598053,-0.078466706,-0.07252658,-0.02180932,-0.02487349,0.11227665,0.0442461,0.09287579,0.006167967,0.0040462585,0.0029401393,-0.05785395,0.018036792,-0.055479147
2015-11-13,0.048338138,0.031073969,-0.05106265,0.05593778,-0.006967054,0.042768124,-0.0057565034,-0.11945617,0.04197025,-0.071095,-0.07379021,-0.02951321,-0.0212581,0.10510616,0.04697997,0.08536389,0.00454266,0.006830354,0.002943167,-0.05084438,0.01408088,-0.05619207
2015-11-20,0.04287271,0.03647505,-0.052887518,0.050289243,-0.0037137046,0.047443707,-0.0039118095,-0.12342596,0.03346673,-0.07192784,-0.077378415,-0.02605139,-0.019313062,0.11048925,0.046330936,0.08641293,-0.00023389756,0.0028050034,-0.00024126322,-0.0395981,0.013198453,-0.051101066
2015-11-27,0.043302316,0.042336814,-0.037848223,0.05596125,-0.008243933,0.04074049,-0.0073178215,-0.12223391,0.03670264,-0.07010546,-0.060964487,-0.034516554,-0.015725996,0.10930143,0.04299451,0.095037654,-0.0006251,-0.010386558,-0.00036529748,-0.05962382,0.010294315,-0.048714295
2015-12-04,0.040338296,0.045484725,-0.0344155,0.050927706,-0.0042838296,0.044334352,-8.584857e-05,-0.1321607,0.025792152,-0.06703375,-0.07927429,-0.0345777,-0.0114252595,0.107081555,0.046681534,0.09072636,0.0012053273,0.0005860582,-0.00023146867,-0.043653484,0.0050193965,-0.051035643
2015-12-11,0.040470116,0.045339145,-0.038476426,0.054335944,-0.0061351247,0.043613452,0.0027330562,-0.12415153,0.021793878,-0.067803964,-0.08714578,-0.03276523,-0.01147526,0.101390064,0.04008644,0.08312602,0.0024749502,0.006131618,0.0011284202,-0.028381586,0.0023849898,-0.048673186
2015-12-18,0.035930634,0.03474883,-0.049922377,0.052353937,-0.010827806,0.048796672,0.00014433116,-0.11070864,0.02855446,-0.08206761,-0.1056609,-0.023630345,-0.017760055,0.110977374,0.043068968,0.07567768,0.0076512857,0.027620604,-0.0027172505,-0.008736799,0.0032189272,-0.056711935
2015-12-25,0.048236676,0.042139627,-0.0346434,0.04698045,-0.008110282,0.040781673,-0.0024309233,-0.12453427,0.026175272,-0.06360273,-0.06797157,-0.031644326,-0.015714522,0.10384466,0.043333076,0.09215586,0.000987842,-0.004680914,-0.0020035207,-0.039785266,0.0023136407,-0.051827066
2016-01-01,0.042622004,0.073853776,-0.05187303,0.061433457,0.03830715,0.061541498,-0.009266045,-0.06436066,-0.010299779,-0.07105614,-0.088790596,-0.03540927,-0.014574209,0.059818793,0.011651528,0.05453083,-0.0104517955,-0.032759596,0.05754303,-0.021139434,-0.015703741,-0.03561778
2016-01-08,0.042340033,0.071023636,-0.049867082,0.058904488,0.036290597,0.06266038,-0.017054759,-0.065134436,-0.0039689494,-0.07225085,-0.10030484,-0.031909138,-0.02258749,0.05753539,0.013129691,0.049250435,-0.011624347,-0.01358704,0.05790147,-0.010889632,-0.007957374,-0.041900184
2016-01-15,0.02938975,0.07012077,-0.04885284,0.05564345,0.036992777,0.057835974,-0.02047616,-0.06568488,-7.233769e-06,-0.085462786,-0.1168198,-0.023250574,-0.0308186,0.055243574,0.018662706,0.04475761,-0.005798989,0.013451663,0.056197107,-0.0053261584,0.00026073976,-0.0360581
2016-01-22,0.027601186,0.06963756,-0.051903557,0.062327575,0.03604572,0.055874813,-0.0109131355,-0.06713618,0.0038108118,-0.08680487,-0.12144506,-0.026678497,-0.028782856,0.058941744,0.02722497,0.045160323,-0.0065424987,0.011332041,0.064429834,-0.007079365,-0.0161784,-0.03892217
2016-01-29,0.021796118,0.07178027,-0.04850868,0.059819747,0.042425226,0.057828974,-0.010184793,-0.06479354,0.00077247026,-0.0888158,-0.12353976,-0.033625193,-0.032003287,0.058714814,0.03337922,0.04016339,-0.0077956514,0.019899262,0.067404315,-0.009799698,-0.014092863,-0.040824525
2016-02-05,0.024804223,0.07902577,-0.043157656,0.058125794,0.048427023,0.040913545,-0.014802491,-0.060423978,-0.0053286487,-0.08139373,-0.12839277,-0.03293891,-0.01999559,0.0540904,0.025455281,0.027667195,0.0062428676,0.02396833,0.07395806,-0.024336124,-0.024540458,-0.027368095
2016-02-12,0.035021454,0.06383215,-0.03802937,0.055946678,0.032713227,0.046780515,-0.01439299,-0.047036573,0.008012025,-0.07935154,-0.12920484,-0.041926276,-0.0276816,0.055028655,0.033433124,0.03184836,0.007399308,0.012316087,0.066949114,-0.010793664,-0.021679062,-0.039184738
2016-02-19,0.03810965,0.075539134,-0.038466994,0.052469827,0.035607994,0.047891688,-0.018196253,-0.04816123,0.0016806722,-0.075054705,-0.12584628,-0.039186973,-0.024239752,0.051675986,0.024345364,0.038712226,0.009982975,0.004670334,0.06654948,-0.011373059,-0.025548274,-0.041161813
