,AAPL,AMZN,BA,BAC,C,CAT,COP,CVX,DIS,GOOGL,GS,JNJ,JPM,MMM,MRK,MSFT,NKE,NVDA,PFE,SLB,UNH,XOM
2015-10-23,-0.013083192,-0.1141214,-0.1792165,0.02322771,-0.07083894,-0.0028755919,-0.20443559,-0.00065309106,-0.21126151,-0.18486236,0.17459837,0.12408819,0.024570078,0.17466004,0.004724647,0.26125285,0.21463852,0.32876185,-0.45348817,0.13783386,0.17976402,-0.2132838
2015-10-30,0.009912498,-0.11375477,-0.22077334,0.021691572,-0.0419795,0.038356647,-0.1886929,-0.009947251,-0.200297,-0.1985304,0.17585921,0.14160812,0.011849689,0.16787755,0.009203151,0.25071377,0.20245901,0.3438289,-0.4667802,0.1421825,0.17592017,-0.2507073
2015-11-06,-0.023704875,-0.12865427,-0.18497127,0.010284906,-0.0828466,0.03373127,-0.1661539,-0.013528856,-0.21937303,-0.1867637,0.16717106,0.15751235,-0.002763185,0.16508937,0.018219152,0.26328126,0.20511177,0.30737582,-0.43572825,0.12893537,0.19801083,-0.21023516
2015-11-13,-0.00036188363,-0.10587879,-0.17644951,0.04651759,-0.0825578,0.0014528796,-0.1918933,0.017337278,-0.23134844,-0.1589557,0.16881932,0.16000274,-0.0013761461,0.14759216,0.026338618,0.25191408,0.1740906,0.32398218,-0.44576263,0.09568503,0.18816935,-0.20731771
2015-11-20,0.0065703928,-0.12142384,-0.19493076,0.027403343,-0.06802805,-0.012003297,-0.15946366,-0.006304729,-0.22303692,-0.16314396,0.16307195,0.13925114,-0.032662116,0.13760671,0.0317404,0.26938304,0.20233282,0.314743,-0.4375351,0.14436606,0.20005722,-0.2179939
2015-11-27,-0.0109493155,-0.11411818,-0.1935622,0.057397783,-0.023449946,-0.017965052,-0.1660802,-0.03502347,-0.206436,-0.1727697,0.16587086,0.16171406,0.013192296,0.12325928,0.037381355,0.24807043,0.2005944,0.31465656,-0.4504994,0.11389504,0.19727063,-0.24244928
2015-12-04,-0.03293132,-0.100609876,-0.19265004,0.07269777,-0.039976932,0.0051817847,-0.16895863,-0.016976114,-0.22760026,-0.18819568,0.15327242,0.1678262,0.007234049,0.12773708,0.052449804,0.23929855,0.17867425,0.28508165,-0.4279173,0.14963676,0.19278565,-0.23605987
2015-12-11,-0.0075386926,-0.12531553,-0.17904475,0.06554425,-0.07835864,0.006800197,-0.17142546,0.007419133,-0.22743292,-0.16590543,0.16885132,0.17034832,0.01331417,0.13257882,0.040674973,0.24925013,0.1814815,0.28341934,-0.42716393,0.11490698,0.19120958,-0.24361336
2015-12-18,-0.0091096135,-0.1331954,-0.19437864,0.06592025,-0.069349214,-0.026134223,-0.16751716,-0.0023354173,-0.21717338,-0.16417786,0.1412932,0.15098134,-0.015314391,0.15158165,0.047279507,0.25941578,0.18730137,0.299666,-0.43180957,0.15401712,0.21119595,-0.23815736
2015-12-25,-0.032206304,-0.107842565,-0.21010609,0.07605203,-0.022677045,-0.012040263,-0.1799886,-0.0052601905,-0.2390151,-0.17844011,0.17743967,0.1453359,0.012578344,0.13599654,0.04505635,0.23003776,0.19038546,0.3345105,-0.44666654,0.1612901,0.18298902,-0.25742894
2016-01-01,-0.015905809,-0.07373078,-0.045229997,0.08796819,0.11615515,-0.08140518,-0.14346948,-0.0037206174,-0.22326799,-0.22685559,0.039886124,-0.007549113,0.110323474,0.26533803,0.13316926,0.19026855,0.0712121,0.24230623,-0.3311616,-0.047134656,0.049146228,-0.10634254
2016-01-08,-0.01706489,-0.07553263,-0.059949838,0.08494477,0.0890788,-0.06151583,-0.124437906,0.033672813,-0.22702503,-0.22975919,0.041678652,-0.021940768,0.11542574,0.25764704,0.13809675,0.16450001,0.06522955,0.2659896,-0.3317365,-0.050855376,0.04838538,-0.10483112
2016-01-15,-0.023381982,-0.10706954,-0.058722638,0.08973186,0.0877234,-0.081133984,-0.14690553,0.023735557,-0.2169598,-0.22877073,0.056580193,0.015757376,0.11493782,0.27650142,0.12456159,0.18135373,0.039582573,0.24977703,-0.3141381,-0.022501713,0.06939296,-0.13005142
2016-01-22,-0.054687075,-0.12302516,-0.09182976,0.106277704,0.12006855,-0.07448186,-0.13546076,0.012414324,-0.22409621,-0.23339736,0.07492634,0.029759992,0.09672302,0.2413491,0.103023745,0.17731436,0.06466491,0.29626426,-0.33979636,0.007848568,0.06405996,-0.1179203
2016-01-29,-0.03541099,-0.13989145,-0.0544918,0.09193121,0.12387846,-0.081274204,-0.1316807,0.036412276,-0.22993796,-0.27041787,0.05597381,0.017856788,0.048288446,0.26808342,0.11722634,0.15790114,0.043455806,0.3097654,-0.3049899,0.024858834,0.06571637,-0.113253415
2016-02-05,-0.004042676,-0.111192085,-0.061562825,0.09725605,0.12144469,-0.060109757,-0.12231521,0.030218372,-0.2298853,-0.26882887,0.06346442,0.0025040568,0.08412188,0.25464636,0.08632696,0.120559834,0.04766631,0.30909118,-0.3247674,-0.013074368,0.07624455,-0.097766116
2016-02-12,-0.012793645,-0.12484994,-0.068106495,0.10576087,0.109434046,-0.06522717,-0.13763084,0.028761204,-0.24859996,-0.2564332,0.06877518,0.025555547,0.09855443,0.2743725,0.1087397,0.14356995,0.040366102,0.3035743,-0.32409352,0.0073665855,0.047828626,-0.12492426
2016-02-19,-0.025678312,-0.15435603,-0.102720335,0.09234633,0.11971388,-0.0634134,-0.121992186,0.036348116,-0.2850312,-0.27205998,0.07659281,0.074119866,0.08378687,0.28604326,0.10023119,0.15148115,0.052380957,0.35901523,-0.35987204,0.02568408,0.056222774,-0.12884304
2016-02-26,-0.03947509,-0.14139692,-0.09980593,0.100763,0.14906056,-0.06958809,-0.15401115,0.025361095,-0.26002663,-0.26490393,0.1057688,0.080293335,0.12830964,0.261095,0.08519871,0.14031294,0.036817122,0.3063609,-0.33549476,0.025733944,0.04306099,-0.12343355
2016-03-04,-0.020783473,-0.14699523,-0.06530319,0.097133644,0.11703907,-0.082209885,-0.11926738,0.059529938,-0.2726082,-0.2717921,0.10423656,0.09748999,0.11418406,0.2405372,0.07950499,0.16125223,0.032522667,0.28360075,-0.35025138,0.019603554,0.0343431,-0.11176696
2016-03-11,-0.04302708,-0.14596787,-0.088248864,0.11785004,0.12147216,-0.07290123,-0.12290342,0.031111017,-0.26204687,-0.2860412,0.08749048,0.0724434,0.098755784,0.22658281,0.0719242,0.1841651,0.035280876,0.29190865,-0.30307114,0.028110946,0.06265767,-0.10554542
2016-03-18,-0.0064151334,-0.16258729,-0.09686115,0.09361718,0.14022526,-0.06411201,-0.11627585,0.020726066,-0.23902567,-0.26066908,0.06687622,0.0488861,0.08895137,0.25385502,0.064816505,0.17946701,0.023766588,0.31603804,-0.36218125,0.030622745,0.0934744,-0.11319505
2016-03-25,-0.009385176,-0.13713205,-0.111271404,0.11802141,0.15806484,-0.06179297,-0.12911077,0.023323312,-0.24189314,-0.29139638,0.08975339,0.043098263,0.113061234,0.2470171,0.04647357,0.1806518,0.05247311,0.2755942,-0.357026,0.006034726,0.08668063,-0.10123966
2016-04-01,0.017057387,-0.12420821,-0.08317602,0.061911047,0.12898041,-0.08326928,-0.11579039,0.036728404,-0.2573671,-0.28045526,0.10566886,0.07103037,0.09476124,0.22624001,0.06894341,0.18870223,0.04915402,0.2526537,-0.3453971,0.0065807225,0.0661644,-0.08491279
2016-04-08,-0.028133672,-0.12225314,-0.0924018,0.08388741,0.15183821,-0.08941676,-0.1457936,0.03528893,-0.2351089,-0.25943142,0.120117545,0.038295705,0.17858909,0.19984522,0.07573939,0.18937072,0.02250826,0.24577661,-0.32599324,-0.010958934,0.066553034,-0.09831859
2016-04-15,-0.0134586375,-0.101334974,-0.10310914,0.0669059,0.16942558,-0.102708325,-0.13203214,0.05117225,-0.20967731,-0.26090536,0.10841261,0.072883226,0.19379184,0.17444912,0.06917175,0.19333498,0.042460408,0.2514805,-0.36798838,-0.057590105,0.09538196,-0.1400656
2016-04-22,-0.01806205,-0.08833371,-0.12079398,0.099693514,0.16763262,-0.067775674,-0.126281,0.02000619,-0.19807547,-0.24598022,0.089164354,0.08037673,0.18056339,0.16882555,0.03550966,0.176626,0.08009148,0.2145017,-0.35547265,-0.043046318,0.08048205,-0.12965219
2016-04-29,-0.008919415,-0.10706444,-0.11628071,0.089254275,0.14404611,-0.08004548,-0.12066953,0.05561199,-0.20164137,-0.26442614,0.09731436,0.083954416,0.16645804,0.17579362,0.039351992,0.21592347,0.08608578,0.19405338,-0.35283673,-0.06020266,0.08540549,-0.121166445
2016-05-06,0.016105792,-0.09923265,-0.11430552,0.12390119,0.14706734,-0.0825659,-0.12662403,0.036962025,-0.18454808,-0.2510384,0.09749435,0.025742266,0.16097745,0.1740236,0.06490258,0.21119814,0.05488524,0.24469706,-0.35365018,-0.09436979,0.11905843,-0.17068093
2016-05-13,0.013265165,-0.07839115,-0.09835325,0.10231213,0.16615283,-0.117596425,-0.13147208,0.041019417,-0.18370488,-0.26897737,0.10889044,0.06776744,0.16535583,0.17774837,0.09261877,0.18197939,0.034864675,0.20191808,-0.35048622,-0.08720063,0.11947503,-0.15718558
2016-05-20,0.018956402,-0.063950025,-0.11275239,0.13245112,0.13035865,-0.096254684,-0.095491394,0.03433458,-0.19347644,-0.24528804,0.098579444,0.05596588,0.15239269,0.17273286,0.077628754,0.19047418,0.05463279,0.18247077,-0.38164195,-0.06391037,0.09818018,-0.14639291
2016-05-27,-0.016920382,-0.059900332,-0.08303334,0.12779011,0.15638456,-0.09352478,-0.09897921,0.011130604,-0.20835789,-0.26983464,0.11341872,0.06709029,0.16987376,0.15219256,0.056996644,0.19336763,0.059429813,0.18117918,-0.34662357,-0.09406608,0.1424906,-0.16010419
2016-06-03,-0.0109145045,-0.08016248,-0.067366555,0.13353994,0.11647769,-0.09548718,-0.11388987,0.010764057,-0.24576016,-0.27859214,0.11456587,0.093469575,0.18911669,0.15466686,0.0757557,0.1961939,0.091655746,0.18419567,-0.3232711,-0.090896346,0.11556306,-0.16962446
2016-06-10,-0.025034625,-0.06264683,-0.07318119,0.15765667,0.13304809,-0.1269251,-0.107443415,0.0049690246,-0.25542337,-0.30714607,0.1136619,0.09129892,0.14976777,0.16950676,0.07560346,0.19245808,0.09632671,0.18786275,-0.30201316,-0.095878415,0.13233347,-0.14880146
2016-06-17,0.005146979,-0.03737219,-0.08390295,0.15042183,0.12000239,-0.1298681,-0.11050363,-0.012750551,-0.24905357,-0.3045446,0.116977885,0.09889868,0.1360157,0.16894484,0.08613317,0.17520408,0.09939011,0.17885058,-0.30982012,-0.08096645,0.13060331,-0.1478073
2016-06-24,-0.013371512,-0.061569683,-0.08095046,0.13323823,0.13863258,-0.13613668,-0.10658405,0.031924814,-0.2502259,-0.3133104,0.11268486,0.0992541,0.13430667,0.17472716,0.08517839,0.1564846,0.107817724,0.19248644,-0.30150536,-0.0796273,0.117677346,-0.14113155
2016-07-01,-0.01741081,-0.055476032,-0.09555433,0.13047889,0.11203448,-0.12016068,-0.13623944,0.029368803,-0.249,-0.3100422,0.13771924,0.111840405,0.18287416,0.16995545,0.08381213,0.17207548,0.11493025,0.18442354,-0.31728512,-0.10676315,0.13501254,-0.1565936
2016-07-08,-0.019137785,-0.04137439,-0.07200545,0.14857516,0.12046999,-0.13622896,-0.17568846,0.019602789,-0.24609749,-0.3076408,0.13233522,0.09858463,0.20857778,0.16675285,0.098731615,0.18158522,0.09414329,0.16496512,-0.31287318,-0.10159125,0.1335141,-0.15519997
2016-07-15,0.008994304,-0.050994378,-0.06882674,0.16225812,0.10518638,-0.15973052,-0.16194846,0.030683288,-0.2843979,-0.3181308,0.13596338,0.113721386,0.20501864,0.17233638,0.09404558,0.17450242,0.10765078,0.16867277,-0.328194,-0.090193965,0.13571548,-0.1523321
2016-07-22,-0.00036082268,-0.04008881,-0.09825482,0.1453794,0.10951433,-0.13999066,-0.16129783,0.0057233945,-0.27539182,-0.28759712,0.13469058,0.10219312,0.21486107,0.18149091,0.0974846,0.18308203,0.11087217,0.16830376,-0.34234205,-0.10869031,0.15403987,-0.15362097
2016-07-29,-0.018886482,-0.08487876,-0.09262582,0.1418544,0.09634515,-0.14720622,-0.16729462,0.0020273596,-0.29563037,-0.32671356,0.1382612,0.1384911,0.21911395,0.18809035,0.08371077,0.18114562,0.14505552,0.17872132,-0.33568436,-0.10648737,0.1786898,-0.11609902
2016-08-05,0.0047637895,-0.06877371,-0.10150094,0.13334604,0.115637496,-0.14200012,-0.16501403,0.020670649,-0.30020577,-0.34635764,0.10456367,0.117614605,0.22381505,0.20077081,0.11642526,0.18851927,0.15104344,0.1915997,-0.36110342,-0.14108646,0.19669229,-0.13942
2016-08-12,0.030371914,-0.08089141,-0.105410114,0.12364875,0.104237065,-0.14381596,-0.15920651,-6.7991015e-05,-0.26652256,-0.35878256,0.12703574,0.13771988,0.21062616,0.1923177,0.113149956,0.18913992,0.1510356,0.18831043,-0.39909774,-0.1580739,0.2170136,-0.11273797
2016-08-19,0.046586085,-0.061546087,-0.11517431,0.11318755,0.1096652,-0.16131517,-0.14340179,0.015134579,-0.28828892,-0.38415384,0.12591554,0.13822731,0.20289764,0.19601557,0.16521883,0.161379,0.16617642,0.17499651,-0.42337838,-0.13264053,0.19908369,-0.10458498
2016-08-26,0.038834278,-0.041544117,-0.11631075,0.14005518,0.13397765,-0.16655204,-0.15162662,0.02258252,-0.2923986,-0.36142603,0.14963955,0.13922168,0.23208971,0.18432231,0.12514448,0.16621704,0.14346306,0.15763876,-0.4369584,-0.16007936,0.22767659,-0.1339668
2016-09-02,0.034363657,-0.03758201,-0.10436777,0.13938433,0.10911213,-0.16330655,-0.15161574,0.012826848,-0.2711739,-0.36185884,0.16719952,0.12814407,0.25870565,0.20194754,0.1454943,0.1662074,0.12066345,0.14860024,-0.43420833,-0.16682765,0.2068406,-0.14854899
2016-09-09,0.02851057,-0.063411355,-0.1292593,0.14673024,0.10165346,-0.1419182,-0.13724604,0.019658243,-0.29414117,-0.38593608,0.15650602,0.1534569,0.22500578,0.18020797,0.13460444,0.16200438,0.16253099,0.14750972,-0.43338156,-0.11783123,0.20098233,-0.11623621
2016-09-16,0.050206743,-0.040750228,-0.13353421,0.15823975,0.087179735,-0.17028774,-0.15143803,0.044410776,-0.27587524,-0.36667982,0.16242051,0.13630234,0.2237035,0.19429433,0.1320004,0.15043616,0.13929427,0.15336898,-0.43860745,-0.15242973,0.22343774,-0.12569275
2016-09-23,0.06033816,-0.03683955,-0.14088054,0.14584373,0.12469901,-0.1674406,-0.15798023,0.023442987,-0.26732928,-0.37593812,0.1542145,0.11968597,0.21788093,0.2074445,0.11812775,0.17703702,0.13740489,0.16926368,-0.45428625,-0.15641686,0.24143872,-0.13971047
2016-09-30,0.06431997,-0.041191757,-0.14331484,0.15738642,0.120539665,-0.16153356,-0.15798609,0.04280729,-0.30428743,-0.39305386,0.14403692,0.13773832,0.22621295,0.21846183,0.117589846,0.14662068,0.16182205,0.18497723,-0.46395245,-0.17028235,0.25784546,-0.14475623
2016-10-07,0.07021966,-0.023666417,-0.16570847,0.16240242,0.13931547,-0.1663508,-0.14418921,0.029108653,-0.29825157,-0.41150188,0.1778383,0.15201545,0.22527549,0.20721674,0.14271809,0.13379471,0.14473075,0.17727219,-0.47648796,-0.16335438,0.2441035,-0.15650073
2016-10-14,0.087481044,-0.010600698,-0.17449403,0.15862489,0.14001742,-0.17215465,-0.1487325,0.019162932,-0.2872794,-0.4145697,0.17180973,0.16024452,0.23982175,0.20609799,0.14489016,0.15307052,0.14225236,0.16581059,-0.48956877,-0.1890517,0.25607544,-0.15890798
2016-10-21,0.07652625,-0.058756493,-0.15748867,0.13587585,0.09232664,-0.18445058,-0.12435794,0.042006783,-0.2937656,-0.42408982,0.18017043,0.19003244,0.21828315,0.2129713,0.1544683,0.15666895,0.15818682,0.19143763,-0.5209886,-0.1527045,0.27079338,-0.16314577
2016-10-28,0.04731045,-0.040831685,-0.15516634,0.13023615,0.12589565,-0.19101113,-0.13665712,0.02361286,-0.27109146,-0.43614817,0.16410527,0.17359434,0.21384835,0.2068419,0.16714235,0.15435955,0.14290023,0.18955079,-0.5013905,-0.15646946,0.29449424,-0.14512627
2016-11-04,0.054122698,-0.051163655,-0.16113488,0.13654453,0.12288942,-0.18539298,-0.14498939,0.034651227,-0.28113514,-0.4402408,0.17119458,0.15285413,0.18612678,0.22138336,0.16946313,0.16778083,0.14482924,0.18250887,-0.49053055,-0.1534819,0.30846033,-0.14473982
2016-11-11,0.075780734,-0.04232781,-0.15865411,0.12290843,0.12065252,-0.19357684,-0.15496802,0.044517733,-0.31334525,-0.46421123,0.17231078,0.17209473,0.1622365,0.23293905,0.16114907,0.17564794,0.17678495,0.18577008,-0.51879364,-0.15096702,0.29253608,-0.0984846
2016-11-18,0.092999905,-0.023766732,-0.15293701,0.13115111,0.105331205,-0.21228385,-0.12952259,0.037557624,-0.3241838,-0.4793922,0.19678815,0.16184556,0.14410624,0.24091856,0.18576784,0.15391052,0.15010971,0.19317397,-0.52262664,-0.15386572,0.30984274,-0.10492444
2016-11-25,0.110320404,-0.016878974,-0.15743236,0.15402551,0.10388218,-0.21456234,-0.16433236,0.029562425,-0.36761183,-0.48209023,0.20867702,0.1717147,0.18788874,0.23288946,0.17622843,0.17251572,0.15875301,0.18220422,-0.5471591,-0.17459816,0.34682256,-0.11081894
2016-12-02,0.09003117,-0.013567114,-0.15698308,0.13855903,0.10201285,-0.18217477,-0.14241031,0.039229624,-0.37470853,-0.48372608,0.19427556,0.21331939,0.22102967,0.22779322,0.18340243,0.13882904,0.1695775,0.1541307,-0.54090923,-0.17048149,0.30895185,-0.116181396
2016-12-09,0.098073825,-0.036997605,-0.19055521,0.12610146,0.07386229,-0.19880882,-0.13285962,0.057286788,-0.3681848,-0.47170052,0.20697026,0.21779358,0.19891174,0.24024737,0.18281952,0.13462849,0.18676071,0.1657947,-0.5195692,-0.14219233,0.3090336,-0.13741624
2016-12-16,0.120535895,-0.03757119,-0.1894305,0.1041011,0.038104597,-0.20946392,-0.13927822,0.05012715,-0.38076025,-0.4718755,0.19799516,0.18596226,0.17126384,0.24676733,0.19483113,0.15482096,0.19918835,0.1361948,-0.51815504,-0.1348969,0.36958256,-0.0880435
